Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Fred Brown,SG,29,SEA,72,,27.3,7.1,14.5,.488,,,,7.1,14.5,.488,.488,2.4,2.7,.898,0.8,1.8,2.6,3.3,1.5,0.3,2.3,2.0,16.6
John Brown,SF,26,ATL,75,,21.3,2.6,5.4,.474,,,,2.6,5.4,.474,.474,2.2,2.7,.825,1.8,2.2,4.0,1.4,0.7,0.1,1.5,3.7,7.3
Joe Bryant,PF,23,PHI,81,,15.3,2.3,5.4,.436,,,,2.3,5.4,.436,.436,1.4,1.8,.771,1.3,2.2,3.5,1.6,0.7,0.3,1.4,2.3,6.1
Quinn Buckner,PG,23,MIL,82,,25.3,3.8,8.2,.468,,,,3.8,8.2,.468,.468,1.6,2.5,.645,1.0,2.1,3.0,5.6,2.3,0.2,2.8,3.5,9.3
Ticky Burden,SG,24,NYK,2,,7.5,0.5,1.0,.500,,,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0
Tom Burleson,C,25,KCK,76,,20.1,3.0,6.9,.434,,,,3.0,6.9,.434,.434,2.6,3.3,.794,2.2,4.1,6.3,1.7,0.8,1.1,1.6,3.4,8.6
Don Buse,PG,27,PHO,82,,31.1,3.5,7.6,.458,,,,3.5,7.6,.458,.458,1.4,1.7,.824,0.7,2.3,3.0,4.8,2.3,0.2,1.5,1.8,8.4
Corky Calhoun,SF,27,POR,79,,17.3,2.2,4.6,.479,,,,2.2,4.6,.479,.479,0.8,1.0,.868,0.9,1.8,2.7,1.1,0.5,0.2,0.8,1.8,5.3
Mack Calvin,PG,30,DEN,77,,12.8,1.9,4.3,.441,,,,1.9,4.3,.441,.441,2.2,2.7,.840,0.1,0.9,1.1,1.9,0.6,0.1,1.4,1.1,6.1
Austin Carr,SG,29,CLE,82,,26.7,5.0,11.5,.438,,,,5.0,11.5,.438,.438,2.2,2.7,.813,0.9,1.4,2.3,2.7,0.8,0.2,1.8,2.0,12.3
Kenny Carr,PF,22,LAL,52,,14.1,2.6,5.8,.444,,,,2.6,5.8,.444,.444,1.1,1.6,.647,1.0,3.0,4.0,0.5,0.3,0.3,1.7,2.4,6.2
M.L. Carr,SF,27,DET,79,,32.4,4.9,10.8,.455,,,,4.9,10.8,.455,.455,2.5,3.4,.738,2.6,4.5,7.1,2.3,1.9,0.3,2.7,3.1,12.4
Bob Carrington,SG,24,TOT,72,,23.0,3.5,8.2,.430,,,,3.5,8.2,.430,.430,1.8,2.4,.760,1.0,1.4,2.4,1.6,0.9,0.3,1.6,2.8,8.8
Bob Carrington,SG,24,NJN,37,,27.9,4.2,10.6,.401,,,,4.2,10.6,.401,.401,1.9,2.6,.742,1.1,1.9,3.0,1.5,1.2,0.3,1.8,3.6,10.4
Bob Carrington,SG,24,IND,35,,17.7,2.7,5.6,.487,,,,2.7,5.6,.487,.487,1.7,2.1,.784,0.8,1.0,1.8,1.8,0.6,0.3,1.5,2.1,7.1
Harvey Catchings,C,26,PHI,61,,12.3,1.1,2.9,.393,,,,1.1,2.9,.393,.393,0.6,0.9,.618,1.7,2.4,4.1,0.6,0.3,1.1,0.7,2.0,2.9
Don Chaney,SG,31,TOT,51,,16.4,2.0,5.3,.387,,,,2.0,5.3,.387,.387,0.7,0.9,.844,0.8,1.5,2.3,1.3,0.9,0.3,1.2,2.1,4.8
Don Chaney,SG,31,LAL,9,,14.8,1.4,4.0,.361,,,,1.4,4.0,.361,.361,0.6,0.7,.833,0.4,0.8,1.2,1.9,0.9,0.3,1.2,1.6,3.4
Don Chaney,SG,31,BOS,42,,16.7,2.2,5.5,.391,,,,2.2,5.5,.391,.391,0.8,0.9,.846,0.9,1.6,2.5,1.2,0.9,0.2,1.2,2.2,5.1
Ken Charles,SG,26,ATL,21,,24.8,3.5,8.8,.397,,,,3.5,8.8,.397,.397,2.0,2.4,.840,0.3,0.9,1.1,3.9,1.2,0.2,1.8,2.5,9.0
Phil Chenier,SG,27,WSB,36,,26.0,5.6,12.5,.443,,,,5.6,12.5,.443,.443,3.0,3.8,.790,0.4,2.4,2.8,2.0,1.0,0.3,1.9,1.5,14.1
Jim Chones,C,28,CLE,82,,35.4,6.4,13.6,.472,,,,6.4,13.6,.472,.472,2.2,3.0,.720,2.7,7.6,10.3,1.6,0.6,0.7,2.2,2.9,15.0
Jim Cleamons,PG,28,NYK,79,,25.4,2.7,5.7,.480,,,,2.7,5.7,.480,.480,1.0,1.3,.786,0.9,1.8,2.7,3.6,0.9,0.2,1.4,1.8,6.5
E.C. Coleman,PF,27,GSW,72,,25.0,2.9,6.2,.475,,,,2.9,6.2,.475,.475,0.6,0.8,.727,1.6,3.6,5.2,1.4,0.9,0.3,1.3,3.5,6.4
Doug Collins,SG,26,PHI,79,,35.1,8.1,15.5,.526,,,,8.1,15.5,.526,.526,3.4,4.2,.812,1.1,1.8,2.9,4.1,1.6,0.3,3.2,2.9,19.7
Norm Cook,SF,22,DEN,2,,5.0,0.5,1.5,.333,,,,0.5,1.5,.333,.333,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,0.0,2.0,1.0
Dave Cowens,C,29,BOS,77,,41.8,7.8,15.8,.490,,,,7.8,15.8,.490,.490,3.1,3.7,.842,3.2,10.8,14.0,4.6,1.3,0.9,2.8,3.9,18.6
Wesley Cox,SF,23,GSW,43,,10.5,1.6,4.0,.399,,,,1.6,4.0,.399,.399,1.3,2.3,.580,1.0,2.3,3.3,0.3,0.5,0.2,0.8,1.9,4.6
Charlie Criss,PG,29,ATL,77,,25.1,4.1,9.8,.425,,,,4.1,9.8,.425,.425,3.1,3.8,.797,0.3,1.3,1.6,3.8,1.4,0.1,1.9,1.9,11.4
Mark Crow,SF,23,NJN,15,,10.3,2.3,5.3,.438,,,,2.3,5.3,.438,.438,0.9,1.3,.700,0.9,0.9,1.8,0.5,0.3,0.1,0.8,1.6,5.6
Louie Dampier,PG,33,SAS,82,,24.8,4.1,8.0,.509,,,,4.1,8.0,.509,.509,0.9,1.2,.752,0.3,1.2,1.5,3.5,1.1,0.2,1.2,1.0,9.1
Bob Dandridge,SF,30,WSB,75,,37.0,7.5,15.9,.471,,,,7.5,15.9,.471,.471,4.4,5.6,.788,1.8,4.1,5.9,3.8,1.3,0.6,3.2,3.5,19.3
Adrian Dantley,SF,21,TOT,79,,37.1,7.3,14.3,.512,,,,7.3,14.3,.512,.512,6.8,8.6,.796,3.4,4.5,7.8,3.2,1.5,0.3,2.9,2.9,21.5
Adrian Dantley,SF,21,IND,23,,41.2,8.7,17.5,.499,,,,8.7,17.5,.499,.499,9.0,11.4,.787,4.1,5.3,9.4,2.8,2.1,0.7,2.9,3.3,26.5
Adrian Dantley,SF,21,LAL,56,,35.4,6.7,12.9,.520,,,,6.7,12.9,.520,.520,6.0,7.4,.801,3.1,4.2,7.2,3.4,1.3,0.1,2.9,2.8,19.4
Brad Davis,PG,22,LAL,33,,10.1,0.9,2.2,.417,,,,0.9,2.2,.417,.417,0.7,0.9,.759,0.1,0.9,1.1,2.5,0.5,0.1,1.1,1.2,2.5
Johnny Davis,SG,22,POR,82,,26.7,4.2,9.2,.454,,,,4.2,9.2,.454,.454,2.3,2.8,.828,0.8,1.3,2.1,2.6,1.0,0.2,1.8,2.1,10.7
Walter Davis,SF,23,PHO,81,,32.0,9.7,18.4,.526,,,,9.7,18.4,.526,.526,4.8,5.8,.830,2.0,4.0,6.0,3.4,1.4,0.2,3.5,3.0,24.2
Darryl Dawkins,C,21,PHI,70,,24.6,4.7,8.2,.575,,,,4.7,8.2,.575,.575,2.2,3.1,.709,1.7,6.3,7.9,1.2,0.5,1.8,1.8,3.8,11.7
Derrek Dickey,PF,26,TOT,47,,10.5,1.9,4.2,.439,,,,1.9,4.2,.439,.439,0.6,0.8,.833,0.8,1.3,2.1,0.4,0.3,0.1,0.9,1.2,4.3
Derrek Dickey,PF,26,GSW,22,,12.4,2.7,5.9,.462,,,,2.7,5.9,.462,.462,0.7,0.8,.941,1.0,1.3,2.2,0.5,0.5,0.1,0.8,1.3,6.2
Derrek Dickey,PF,26,CHI,25,,8.8,1.1,2.7,.397,,,,1.1,2.7,.397,.397,0.6,0.8,.737,0.6,1.3,1.9,0.4,0.2,0.1,0.9,1.1,2.7
Coby Dietrick,PF,29,SAS,79,,23.7,3.2,6.9,.460,,,,3.2,6.9,.460,.460,1.1,1.4,.781,0.9,3.6,4.5,2.7,1.0,0.7,1.8,2.9,7.5
Ernie DiGregorio,PG,27,TOT,52,,11.7,1.7,4.0,.421,,,,1.7,4.0,.421,.421,0.5,0.6,.848,0.1,0.8,1.0,2.6,0.3,0.0,1.8,0.8,3.9
Ernie DiGregorio,PG,27,LAL,25,,13.3,1.6,4.0,.410,,,,1.6,4.0,.410,.410,0.6,0.8,.800,0.2,0.7,0.9,2.8,0.2,0.0,1.8,0.9,3.9
Ernie DiGregorio,PG,27,BOS,27,,10.1,1.7,4.0,.431,,,,1.7,4.0,.431,.431,0.4,0.5,.923,0.1,0.9,1.0,2.4,0.4,0.0,1.7,0.8,3.9
Jacky Dorsey,SF,23,TOT,11,,8.0,1.1,2.8,.387,,,,1.1,2.8,.387,.387,0.9,1.5,.625,1.0,1.7,2.7,0.5,0.2,0.3,0.5,1.5,3.1
Jacky Dorsey,SF,23,DEN,7,,5.3,0.4,1.7,.250,,,,0.4,1.7,.250,.250,0.4,0.7,.600,0.7,2.1,2.9,0.3,0.3,0.3,0.4,1.3,1.3
Jacky Dorsey,SF,23,POR,4,,12.8,2.3,4.8,.474,,,,2.3,4.8,.474,.474,1.8,2.8,.636,1.5,1.0,2.5,0.8,0.0,0.3,0.8,2.0,6.3
Leon Douglas,C,23,DET,79,,25.2,4.1,8.4,.481,,,,4.1,8.4,.481,.481,2.8,4.4,.641,2.3,5.1,7.4,1.4,0.7,0.6,2.5,3.7,10.9
John Drew,SF,23,ATL,70,,31.5,8.5,17.7,.480,,,,8.5,17.7,.480,.480,6.2,8.2,.760,3.0,4.3,7.3,2.0,1.7,0.4,3.0,3.5,23.2
Charles Dudley,PG,27,GSW,78,,21.3,1.6,3.2,.510,,,,1.6,3.2,.510,.510,1.8,2.5,.708,1.1,2.6,3.7,5.2,0.9,0.0,2.1,2.3,5.0
Mike Dunleavy,PG,23,TOT,15,,7.9,1.3,3.3,.400,,,,1.3,3.3,.400,.400,0.9,1.2,.722,0.1,0.6,0.7,1.9,0.6,0.1,0.8,0.8,3.5
Mike Dunleavy,PG,23,PHI,4,,4.3,0.8,1.8,.429,,,,0.8,1.8,.429,.429,0.5,0.5,1.000,0.0,0.3,0.3,1.5,0.3,0.0,0.8,0.0,2.0
Mike Dunleavy,PG,23,HOU,11,,9.3,1.5,3.9,.395,,,,1.5,3.9,.395,.395,1.0,1.5,.688,0.1,0.7,0.8,2.0,0.7,0.1,0.8,1.1,4.1
T.R. Dunn,SG,22,POR,63,,12.2,1.6,3.8,.417,,,,1.6,3.8,.417,.417,0.6,0.9,.661,1.0,1.3,2.3,0.7,0.7,0.1,0.6,1.2,3.8
Jim Eakins,C,31,TOT,33,,12.3,1.3,2.6,.512,,,,1.3,2.6,.512,.512,1.5,1.8,.833,0.9,1.4,2.3,0.9,0.2,0.5,1.0,2.2,4.2
Jim Eakins,C,31,SAS,16,,15.7,1.9,3.3,.577,,,,1.9,3.3,.577,.577,1.8,2.1,.853,1.1,1.8,2.9,1.1,0.2,0.6,1.5,2.9,5.6
Jim Eakins,C,31,MIL,17,,9.1,0.8,2.0,.412,,,,0.8,2.0,.412,.412,1.2,1.5,.808,0.7,1.0,1.7,0.7,0.2,0.4,0.5,1.5,2.9
Al Eberhard,SF,25,DET,37,,15.6,1.9,4.3,.444,,,,1.9,4.3,.444,.444,1.1,1.6,.672,1.0,1.8,2.8,0.7,0.4,0.1,0.6,1.7,4.9
James Edwards,C,22,TOT,83,,29.0,6.0,13.2,.453,,,,6.0,13.2,.453,.453,3.3,5.1,.646,2.4,5.0,7.4,1.0,0.6,0.9,2.0,3.9,15.2
James Edwards,C,22,LAL,25,,28.9,5.8,12.6,.459,,,,5.8,12.6,.459,.459,3.2,5.0,.640,1.8,5.4,7.2,1.2,0.6,1.1,2.3,3.6,14.8
James Edwards,C,22,IND,58,,29.0,6.0,13.4,.450,,,,6.0,13.4,.450,.450,3.3,5.1,.649,2.6,4.9,7.5,1.0,0.6,0.9,1.9,4.0,15.4
Bo Ellis,PF,23,DEN,78,,15.6,1.7,4.1,.416,,,,1.7,4.1,.416,.416,0.9,1.3,.692,1.5,2.4,3.9,0.9,0.6,0.6,1.3,2.7,4.3
Len Elmore,C,25,IND,69,,19.2,2.1,5.6,.368,,,,2.1,5.6,.368,.368,1.3,1.9,.667,2.0,4.1,6.1,1.2,1.1,1.0,1.1,2.5,5.4
Alex English,SF,24,MIL,82,,18.9,4.2,7.7,.542,,,,4.2,7.7,.542,.542,1.3,1.7,.727,1.8,3.1,4.8,1.6,0.5,0.7,1.7,2.2,9.6
Julius Erving,SF,27,PHI,74,,32.8,8.3,16.4,.502,,,,8.3,16.4,.502,.502,4.1,4.9,.845,2.4,4.1,6.5,3.8,1.8,1.3,3.2,2.8,20.6
Al Fleming,SF,23,SEA,20,,4.9,0.8,1.6,.484,,,,0.8,1.6,.484,.484,0.5,0.9,.588,0.7,0.9,1.5,0.4,0.0,0.3,0.8,0.8,2.0
Mike Flynn,PG,24,IND,71,,13.5,1.7,3.8,.449,,,,1.7,3.8,.449,.449,0.8,1.4,.567,0.7,1.0,1.6,2.0,0.6,0.1,1.1,0.7,4.2
Chris Ford,SG,29,DET,82,,31.5,4.6,9.5,.481,,,,4.6,9.5,.481,.481,1.4,1.9,.734,1.4,1.8,3.3,4.6,2.0,0.2,2.8,2.2,10.5
Don Ford,PF,25,LAL,79,,24.6,3.4,7.3,.472,,,,3.4,7.3,.472,.472,0.9,1.1,.756,1.3,3.1,4.5,1.8,0.9,0.6,1.1,2.7,7.7
Bayard Forrest,C,23,PHO,64,,13.9,1.7,3.7,.466,,,,1.7,3.7,.466,.466,0.8,1.6,.476,1.3,2.6,3.9,2.0,0.4,0.5,1.3,1.6,4.2
Walt Frazier,PG,32,CLE,51,,32.6,6.6,14.0,.471,,,,6.6,14.0,.471,.471,3.0,3.5,.850,1.1,3.0,4.1,4.1,1.5,0.3,2.2,2.4,16.2
World B. Free,SG,24,PHI,76,,27.0,5.1,11.3,.455,,,,5.1,11.3,.455,.455,5.4,7.4,.731,1.2,1.6,2.8,4.0,0.9,0.5,2.6,2.6,15.7
Terry Furlow,SG,23,CLE,53,,15.6,3.6,8.4,.433,,,,3.6,8.4,.433,.433,1.7,1.9,.889,0.9,1.1,2.0,1.4,0.4,0.3,1.5,1.3,8.9
Mike Gale,SG,27,SAS,70,,29.9,3.9,8.3,.473,,,,3.9,8.3,.473,.473,1.2,1.4,.870,0.8,2.4,3.2,5.4,2.3,0.4,2.5,2.4,9.1
Gus Gerard,SF,24,TOT,57,,15.6,3.0,6.9,.430,,,,3.0,6.9,.430,.430,1.3,1.9,.694,1.0,1.8,2.8,0.9,0.6,0.4,1.1,1.9,7.3
Gus Gerard,SF,24,BUF,10,,8.5,1.6,4.0,.400,,,,1.6,4.0,.400,.400,1.1,1.5,.733,0.6,0.8,1.4,0.9,0.2,0.3,0.7,1.3,4.3
Gus Gerard,SF,24,DET,47,,17.1,3.3,7.6,.434,,,,3.3,7.6,.434,.434,1.4,2.0,.688,1.0,2.1,3.1,0.9,0.7,0.5,1.1,2.0,7.9
George Gervin,SG,25,SAS,82,,34.8,10.5,19.6,.536,,,,10.5,19.6,.536,.536,6.1,7.4,.830,1.4,3.7,5.1,3.7,1.7,1.3,3.7,3.1,27.2
John Gianelli,C,27,MIL,82,,28.4,3.7,7.7,.488,,,,3.7,7.7,.488,.488,1.0,1.5,.642,2.0,4.2,6.2,2.3,0.7,1.1,1.8,2.3,8.5
Artis Gilmore,C,28,CHI,82,,37.4,8.6,15.4,.559,,,,8.6,15.4,.559,.559,5.7,8.2,.704,3.9,9.2,13.1,3.2,0.5,2.2,4.5,3.2,22.9
Mike Glenn,SG,22,BUF,56,,16.9,3.5,6.6,.527,,,,3.5,6.6,.527,.527,0.9,1.2,.785,0.3,1.2,1.4,1.4,0.6,0.1,0.9,1.8,7.9
Glen Gondrezick,SF,22,NYK,72,,14.1,1.8,4.7,.386,,,,1.8,4.7,.386,.386,1.2,1.7,.686,1.3,2.2,3.5,1.2,0.8,0.3,1.1,2.5,4.8
Gail Goodrich,SG,34,NOJ,81,,31.5,6.4,13.0,.495,,,,6.4,13.0,.495,.495,3.3,4.1,.795,0.9,1.3,2.2,4.8,1.0,0.3,2.5,2.3,16.1
Mike Green,C,26,TOT,72,,19.2,3.3,7.1,.463,,,,3.3,7.1,.463,.463,1.5,2.0,.754,1.8,3.2,5.0,1.1,0.4,1.4,1.5,2.7,8.1
Mike Green,C,26,SEA,9,,27.8,4.8,9.7,.494,,,,4.8,9.7,.494,.494,2.3,3.4,.677,2.4,3.7,6.1,1.1,0.7,1.4,2.4,2.9,11.9
Mike Green,C,26,SAS,63,,18.0,3.1,6.8,.457,,,,3.1,6.8,.457,.457,1.4,1.8,.775,1.7,3.1,4.8,1.0,0.4,1.4,1.3,2.7,7.6
Rickey Green,PG,23,GSW,76,,14.4,1.9,4.9,.381,,,,1.9,4.9,.381,.381,0.7,1.2,.600,0.6,0.9,1.5,2.0,0.8,0.0,1.0,1.3,4.5
Steve Green,SF,24,IND,44,,10.2,1.3,2.9,.438,,,,1.3,2.9,.438,.438,0.9,1.3,.696,0.7,0.9,1.6,0.7,0.3,0.0,0.5,1.5,3.4
Kevin Grevey,SF,24,WSB,81,,26.2,6.2,13.9,.448,,,,6.2,13.9,.448,.448,3.0,3.8,.789,1.5,2.0,3.6,1.9,0.8,0.2,2.0,2.5,15.5
Greg Griffin,SF,25,PHO,36,,11.7,1.7,4.7,.361,,,,1.7,4.7,.361,.361,0.6,1.0,.639,1.2,1.6,2.9,0.7,0.4,0.0,1.1,1.6,4.0
Paul Griffin,PF,24,NOJ,82,,22.6,2.0,4.4,.447,,,,2.0,4.4,.447,.447,1.4,1.9,.713,1.9,4.3,6.2,2.1,1.1,0.5,1.8,2.8,5.3
Bob Gross,SF,24,POR,72,,30.0,5.3,10.0,.529,,,,5.3,10.0,.529,.529,2.1,2.6,.800,2.5,3.1,5.6,3.5,1.4,0.7,2.5,3.3,12.7
Ernie Grunfeld,SG,22,MIL,73,,17.3,2.8,6.3,.443,,,,2.8,6.3,.443,.443,1.3,2.0,.657,1.0,1.7,2.7,2.0,0.7,0.3,1.3,2.1,6.9
Glenn Hansen,SG,25,TOT,5,,2.6,0.0,1.4,.000,,,,0.0,1.4,.000,.000,0.0,0.0,,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.6,0.0
Glenn Hansen,SG,25,CHI,2,,2.0,0.0,1.0,.000,,,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Glenn Hansen,SG,25,KCK,3,,3.0,0.0,1.7,.000,,,,0.0,1.7,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,1.0,0.0
Joe Hassett,SG,22,SEA,48,,8.4,1.9,4.3,.444,,,,1.9,4.3,.444,.444,0.2,0.3,.833,0.3,0.5,0.8,0.9,0.4,0.0,0.7,0.9,4.0
John Havlicek,SF,37,BOS,82,,34.1,6.7,14.8,.449,,,,6.7,14.8,.449,.449,2.8,3.3,.855,1.1,2.9,4.0,4.0,1.1,0.3,2.5,2.3,16.1
Steve Hawes,PF,27,ATL,75,,31.0,5.2,11.4,.453,,,,5.2,11.4,.453,.453,2.3,2.9,.818,2.4,6.8,9.2,2.5,1.0,0.8,2.0,3.1,12.7
Robert Hawkins,SG,23,NJN,15,,22.9,4.6,10.0,.460,,,,4.6,10.0,.460,.460,1.7,1.9,.862,1.4,1.9,3.3,2.5,1.5,0.9,2.9,3.4,10.9
Elvin Hayes,PF,32,WSB,81,,40.1,7.9,17.4,.451,,,,7.9,17.4,.451,.451,4.0,6.3,.634,4.1,9.1,13.3,1.8,1.2,2.0,2.8,3.9,19.7
Spencer Haywood,PF,28,NYK,67,,26.3,6.1,12.7,.484,,,,6.1,12.7,.484,.484,1.4,2.0,.711,2.1,4.5,6.6,1.9,0.6,1.1,2.1,2.8,13.7
