Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Atlanta Hawks,82,19780,.439,11.1,.819,.328,.153,.146,.193,.181,.458,.583,.349,.363,.400,.354,.525,.054,313,.245,851,.839,.255,.354,5,0
Boston Celtics,82,19830,.424,13.3,.711,.293,.124,.111,.182,.289,.450,.581,.324,.351,.385,.359,.512,.032,204,.255,892,.886,.213,.330,15,2
Charlotte Hornets,82,19755,.440,11.6,.849,.308,.131,.162,.248,.151,.456,.577,.402,.363,.395,.348,.580,.049,292,.234,802,.812,.153,.408,8,0
Chicago Bulls,82,19805,.433,12.0,.866,.295,.111,.161,.299,.134,.447,.562,.343,.405,.393,.346,.617,.050,293,.229,733,.890,.189,.305,7,0
Cleveland Cavaliers,82,19855,.448,12.4,.844,.255,.141,.206,.242,.156,.461,.580,.391,.425,.407,.377,.601,.046,266,.183,620,.910,.238,.430,20,1
Dallas Mavericks,82,19880,.462,12.8,.763,.281,.121,.146,.214,.237,.488,.607,.404,.411,.431,.378,.510,.037,232,.228,872,.799,.160,.436,9,0
Denver Nuggets,82,19805,.424,12.0,.813,.300,.147,.121,.245,.187,.446,.583,.360,.397,.355,.329,.586,.038,228,.229,871,.842,.306,.344,17,0
Detroit Pistons,82,19680,.452,12.7,.760,.283,.124,.146,.207,.240,.475,.613,.420,.356,.404,.376,.555,.048,270,.214,757,.884,.306,.398,6,1
Golden State Warriors,82,19780,.429,10.6,.858,.297,.235,.111,.215,.142,.447,.640,.326,.372,.351,.322,.532,.040,254,.227,975,.881,.193,.359,15,1
Houston Rockets,82,19980,.428,13.0,.777,.295,.108,.103,.271,.223,.455,.587,.348,.355,.391,.335,.457,.052,298,.218,760,.829,.241,.350,15,0
Indiana Pacers,82,19905,.446,12.4,.818,.236,.193,.168,.222,.182,.470,.639,.408,.389,.405,.339,.601,.052,311,.178,655,.896,.288,.384,11,0
Los Angeles Clippers,82,19805,.445,11.3,.828,.261,.230,.184,.153,.172,.464,.632,.404,.380,.369,.356,.523,.056,342,.183,673,.919,.113,.408,9,0
Los Angeles Lakers,82,19780,.461,12.3,.790,.280,.167,.137,.206,.210,.489,.657,.414,.403,.379,.354,.539,.078,489,.178,692,.902,.257,.419,15,1
