Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Seattle SuperSonics,27.7,59,23,7.07,-0.42,6.66,112.3,104.9,96.0,.316,.085,.546,.502,13.5,35.5,.241,.489,16.4,67.7,.260,Seattle Center Coliseum
Cleveland Cavaliers,28.8,58,24,6.45,-0.15,6.30,112.7,106.0,94.8,.308,.108,.565,.518,12.5,28.1,.247,.482,13.1,69.1,.185,Coliseum at Richfield
Phoenix Suns,28.2,57,25,6.66,-0.39,6.27,113.3,106.7,99.8,.358,.154,.566,.521,14.2,33.0,.270,.496,13.9,69.2,.206,America West Arena
Chicago Bulls,28.1,58,24,6.29,-0.10,6.19,112.9,106.1,92.5,.271,.093,.535,.499,12.0,36.3,.199,.493,15.4,68.7,.239,Chicago Stadium
New York Knicks,28.3,58,24,6.16,-0.29,5.87,106.1,99.7,94.5,.336,.088,.526,.479,14.1,33.1,.249,.444,14.9,72.1,.294,Madison Square Garden (IV)
Houston Rockets,27.4,53,29,4.23,-0.66,3.57,109.6,105.2,94.4,.310,.159,.557,.515,14.5,30.0,.235,.474,13.4,68.5,.201,The Summit
Portland Trail Blazers,28.2,49,33,3.11,-0.19,2.92,108.3,105.2,99.1,.347,.115,.526,.476,12.6,32.7,.259,.488,14.8,71.0,.237,Memorial Coliseum
San Antonio Spurs,27.5,48,34,2.67,-0.46,2.21,109.6,106.8,95.4,.347,.102,.555,.507,13.6,27.8,.265,.477,12.3,70.1,.221,HemisFair Arena
Indiana Pacers,26.8,46,36,1.70,0.08,1.77,111.9,110.1,96.0,.342,.112,.547,.498,13.5,34.2,.262,.485,12.7,67.4,.281,Market Square Arena
Utah Jazz,29.3,47,35,2.17,-0.43,1.74,109.6,107.4,96.5,.365,.061,.550,.498,13.8,31.0,.279,.487,13.9,68.7,.250,Delta Center
Orlando Magic,25.8,45,37,1.32,0.03,1.35,108.5,107.1,96.3,.372,.133,.554,.509,15.5,31.4,.271,.473,11.9,68.8,.232,Orlando Arena
New Jersey Nets,27.3,45,37,1.26,-0.05,1.20,106.5,105.2,96.0,.319,.069,.522,.473,14.4,35.5,.244,.480,14.1,69.5,.240,Brendan Byrne Arena
Boston Celtics,28.6,43,39,0.89,0.04,0.93,108.7,107.8,94.9,.270,.054,.536,.495,12.9,31.2,.210,.479,12.9,69.0,.251,Boston Garden
Los Angeles Clippers,26.7,42,40,0.35,-0.03,0.33,107.4,107.1,99.1,.297,.067,.530,.493,13.9,32.7,.213,.489,15.1,66.7,.263,Los Angeles Memorial Sports Arena
Charlotte Hornets,25.7,40,42,-0.24,0.22,-0.02,109.5,109.7,100.2,.329,.074,.547,.499,13.8,31.3,.254,.487,12.6,65.0,.201,Charlotte Coliseum
Atlanta Hawks,27.1,39,43,-0.87,0.20,-0.67,109.3,110.2,97.6,.305,.148,.534,.493,14.0,34.8,.227,.516,14.6,68.5,.224,Omni Coliseum
Miami Heat,25.2,38,44,-1.15,0.21,-0.93,107.7,108.9,94.6,.361,.137,.535,.481,13.9,31.9,.279,.495,14.2,69.8,.274,Miami Arena
Golden State Warriors,25.0,38,44,-0.99,0.05,-0.94,109.2,110.2,99.5,.342,.118,.543,.502,14.9,34.2,.245,.501,14.0,67.0,.261,Oakland-Alameda County Coliseum Arena
Detroit Pistons,29.9,37,45,-1.39,0.29,-1.10,107.4,108.9,93.2,.271,.126,.511,.473,12.5,34.6,.198,.500,13.5,67.8,.212,The Palace of Auburn Hills
Los Angeles Lakers,28.0,38,44,-1.27,0.06,-1.20,107.6,108.9,96.2,.329,.090,.534,.486,13.7,31.4,.249,.500,14.3,66.4,.215,Great Western Forum
Denver Nuggets,24.8,36,46,-1.74,-0.40,-2.14,104.6,106.3,99.8,.324,.062,.518,.470,14.5,33.6,.245,.476,13.9,68.9,.263,McNichols Sports Arena
Sacramento Kings,26.5,33,49,-3.17,0.17,-3.00,106.5,109.6,100.8,.337,.108,.530,.481,14.1,30.7,.257,.502,15.1,66.7,.292,ARCO Arena (II)
Milwaukee Bucks,26.9,31,51,-3.73,0.47,-3.26,106.2,110.1,96.1,.301,.135,.535,.495,14.8,30.5,.223,.502,15.7,62.5,.266,Bradley Center
Philadelphia 76ers,27.1,26,56,-5.77,0.51,-5.25,104.6,110.4,98.5,.319,.133,.530,.479,14.4,28.1,.251,.504,13.3,65.9,.188,The Spectrum
Washington Bullets,26.1,23,59,-7.04,0.55,-6.49,103.6,110.8,97.7,.298,.082,.523,.480,14.2,28.8,.223,.510,13.6,67.1,.219,Capital Centre
Minnesota Timberwolves,25.8,21,61,-7.78,0.16,-7.62,103.6,111.8,93.8,.344,.087,.535,.479,15.9,28.7,.275,.503,13.5,66.3,.269,Target Center
Dallas Mavericks,24.9,10,72,-15.20,0.52,-14.68,99.5,114.7,99.5,.299,.115,.495,.455,15.1,31.1,.210,.519,13.5,68.1,.347,Reunion Arena
