Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Chicago Bulls,30.7,68,14,10.80,-0.11,10.70,114.4,102.4,90.0,.267,.203,.547,.511,12.5,35.9,.199,.471,14.8,69.3,.196,United Center
Utah Jazz,29.6,64,18,8.79,-0.82,7.97,113.6,104.0,90.0,.389,.145,.581,.530,14.7,29.7,.299,.480,15.5,71.6,.290,Delta Center
Seattle SuperSonics,30.0,62,20,7.68,-0.77,6.91,111.2,102.7,90.3,.358,.247,.557,.510,14.2,30.9,.269,.490,17.7,69.1,.242,KeyArena at Seattle Center
Miami Heat,27.2,57,25,5.49,0.07,5.56,106.8,100.6,88.2,.324,.299,.546,.507,15.5,29.2,.233,.465,15.6,70.6,.248,Miami Arena
Atlanta Hawks,28.8,57,25,5.44,0.08,5.52,108.5,102.3,86.8,.310,.291,.542,.498,14.6,31.5,.236,.472,15.0,69.2,.191,Omni Coliseum
Detroit Pistons,28.2,57,25,5.24,0.20,5.45,110.6,104.4,84.5,.327,.246,.554,.512,13.0,27.5,.244,.487,14.6,70.4,.197,The Palace of Auburn Hills
Houston Rockets,30.8,54,28,4.48,-0.62,3.85,108.8,104.0,91.6,.307,.284,.560,.520,15.6,28.4,.232,.481,13.3,71.4,.190,The Summit
Los Angeles Lakers,26.5,53,29,4.27,-0.61,3.66,108.3,103.7,91.1,.351,.226,.535,.496,13.7,31.6,.243,.478,15.1,68.5,.231,Great Western Forum
Portland Trail Blazers,26.4,53,29,4.17,-0.61,3.56,107.9,103.3,90.9,.350,.217,.544,.503,15.4,32.5,.249,.471,14.3,72.4,.268,Rose Garden Arena
New York Knicks,29.7,50,32,3.12,0.18,3.31,104.4,101.0,90.5,.340,.208,.546,.501,17.0,30.5,.255,.463,15.4,73.4,.279,Madison Square Garden (IV)
Cleveland Cavaliers,26.7,47,35,1.84,0.47,2.32,104.6,102.4,82.9,.297,.215,.531,.493,15.0,29.4,.215,.482,16.8,71.9,.281,Gund Arena
Charlotte Hornets,29.1,46,36,1.87,0.26,2.13,110.9,108.9,88.6,.313,.218,.562,.518,14.3,28.7,.243,.496,13.3,68.1,.204,Charlotte Coliseum
Washington Bullets,25.9,46,36,1.62,0.15,1.77,106.6,104.9,92.4,.296,.150,.540,.505,14.6,30.2,.210,.491,15.3,70.3,.226,US Airways Arena
Indiana Pacers,27.9,44,38,0.98,0.52,1.49,105.8,104.7,89.0,.374,.181,.537,.490,15.5,31.3,.270,.480,15.0,70.4,.258,Market Square Arena
Phoenix Suns,28.5,43,39,0.66,-0.45,0.21,109.3,108.6,93.2,.317,.213,.552,.508,13.4,27.1,.241,.507,14.4,69.4,.215,America West Arena
Orlando Magic,29.4,40,42,-0.35,0.28,-0.07,105.6,106.0,88.3,.304,.256,.524,.481,14.5,30.9,.227,.495,15.3,67.3,.211,Orlando Arena
Milwaukee Bucks,27.3,35,47,-1.89,0.51,-1.38,106.2,108.3,89.5,.334,.146,.541,.496,15.1,29.7,.248,.501,14.1,69.9,.253,Bradley Center
Minnesota Timberwolves,26.3,37,45,-1.48,-0.35,-1.82,105.5,107.1,90.7,.339,.170,.533,.485,14.4,28.8,.254,.486,14.6,68.3,.252,Target Center
