Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Sacramento Kings,27.0,61,21,7.61,0.00,7.61,109.0,101.1,95.6,.308,.166,.539,.497,12.4,27.9,.231,.467,13.6,71.7,.185,ARCO Arena (II)
Los Angeles Lakers,27.9,60,22,7.12,0.03,7.15,109.4,101.7,92.1,.313,.210,.534,.498,11.8,28.8,.218,.453,13.0,72.0,.233,STAPLES Center
San Antonio Spurs,28.5,59,23,6.21,0.07,6.28,106.5,99.7,90.0,.353,.190,.539,.492,13.8,27.2,.262,.453,13.7,71.9,.189,Alamodome
Dallas Mavericks,27.6,53,29,4.26,0.16,4.41,112.2,107.7,92.8,.288,.237,.553,.507,11.3,26.1,.232,.485,12.9,70.7,.239,American Airlines Center
New Jersey Nets,26.1,53,29,4.16,-0.49,3.67,104.0,99.5,91.8,.280,.175,.515,.476,13.4,29.2,.206,.459,14.9,71.6,.213,Continental Airlines Arena
Minnesota Timberwolves,26.7,51,31,3.38,0.20,3.58,109.0,105.3,90.5,.255,.152,.532,.490,12.5,31.3,.203,.482,12.7,73.7,.218,Target Center
Seattle SuperSonics,26.9,50,32,3.02,0.22,3.24,108.9,105.6,89.0,.250,.193,.540,.505,13.2,29.4,.189,.485,14.5,68.1,.206,KeyArena at Seattle Center
Portland Trail Blazers,29.0,50,32,2.99,0.22,3.21,107.4,104.0,89.3,.285,.198,.528,.485,13.5,31.8,.218,.489,14.2,73.3,.202,Rose Garden Arena
Boston Celtics,26.2,48,34,2.21,-0.46,1.75,103.4,101.0,92.5,.291,.289,.520,.476,12.8,24.1,.223,.464,15.1,72.9,.245,FleetCenter
Detroit Pistons,29.5,48,34,2.13,-0.45,1.69,104.8,102.4,90.0,.310,.240,.540,.497,14.3,24.4,.235,.474,14.8,70.5,.206,The Palace of Auburn Hills
Philadelphia 76ers,29.0,46,36,1.60,-0.33,1.27,102.1,100.3,88.9,.327,.111,.507,.452,14.6,31.7,.255,.460,14.2,72.1,.208,First Union Center
Orlando Magic,28.0,46,36,1.57,-0.32,1.25,107.0,105.3,93.2,.278,.241,.533,.493,12.6,26.3,.210,.486,14.4,69.2,.215,TD Waterhouse Centre
Utah Jazz,29.9,44,38,0.89,0.32,1.21,105.6,104.6,90.3,.381,.132,.529,.472,15.4,33.5,.291,.484,15.9,71.7,.286,Delta Center
Charlotte Hornets,28.3,44,38,0.96,-0.40,0.57,104.3,103.3,89.7,.320,.151,.513,.466,13.3,30.6,.238,.465,13.3,72.2,.226,Charlotte Coliseum
Indiana Pacers,26.1,42,40,0.27,-0.34,-0.07,104.1,103.8,91.9,.328,.182,.527,.477,14.2,27.0,.253,.469,13.2,71.0,.227,Conseco Fieldhouse
Los Angeles Clippers,24.4,40,42,-0.46,0.38,-0.09,105.5,106.0,90.1,.304,.172,.519,.476,13.8,31.3,.225,.477,12.1,69.9,.194,STAPLES Center
Phoenix Suns,26.5,39,43,-0.68,0.39,-0.30,103.3,104.0,91.4,.235,.158,.510,.472,13.6,30.1,.180,.476,14.4,70.2,.227,America West Arena
Milwaukee Bucks,28.9,40,42,-0.22,-0.40,-0.62,106.9,107.1,90.2,.269,.241,.544,.507,13.6,25.6,.201,.477,12.0,70.9,.217,Bradley Center
Toronto Raptors,29.3,40,42,-0.44,-0.27,-0.71,102.6,103.1,88.8,.255,.165,.501,.463,13.6,31.4,.189,.471,14.7,70.1,.237,Air Canada Centre
Washington Wizards,27.5,37,45,-1.40,-0.17,-1.58,104.8,106.4,88.3,.280,.118,.508,.464,12.5,30.7,.214,.484,13.0,71.4,.214,MCI Center
Miami Heat,30.1,36,46,-1.54,-0.31,-1.84,98.5,100.2,87.4,.268,.141,.501,.463,14.6,26.6,.194,.455,13.6,74.0,.249,AmericanAirlines Arena
Cleveland Cavaliers,26.0,31,51,-3.33,-0.19,-3.52,104.6,108.2,90.3,.301,.156,.524,.477,13.8,28.9,.232,.493,12.3,72.8,.226,Gund Arena
