Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Miami Heat,29.0,61,21,7.46,-0.71,6.76,111.7,103.5,90.9,.363,.235,.573,.524,13.5,25.2,.279,.475,12.6,75.5,.223,AmericanAirlines Arena
Chicago Bulls,26.4,61,21,7.32,-0.79,6.53,108.3,100.3,90.4,.305,.215,.541,.501,13.5,29.4,.227,.463,13.6,76.2,.222,United Center
Los Angeles Lakers,30.2,58,24,6.11,-0.10,6.01,111.0,104.3,90.7,.293,.220,.545,.502,12.3,29.2,.228,.477,12.8,72.3,.181,STAPLES Center
San Antonio Spurs,28.8,56,26,5.71,0.16,5.86,111.8,105.6,92.3,.299,.261,.567,.527,12.8,24.9,.229,.491,12.6,74.6,.190,AT&amp;T Center
Orlando Magic,27.6,56,26,5.46,-0.54,4.92,107.9,102.0,91.2,.328,.328,.554,.521,14.3,26.1,.227,.475,13.3,76.9,.219,Amway Center
Boston Celtics,29.5,57,25,5.37,-0.54,4.83,106.2,100.3,90.4,.305,.180,.561,.519,14.5,21.1,.235,.469,14.8,74.7,.235,TD Garden
Denver Nuggets,27.3,54,28,4.76,0.05,4.81,112.3,107.3,95.6,.367,.258,.574,.526,13.1,23.9,.281,.500,12.7,75.4,.224,Pepsi Center
Dallas Mavericks,30.9,53,29,4.23,0.18,4.41,109.7,105.0,91.3,.286,.274,.565,.525,13.6,24.1,.222,.488,13.0,74.8,.206,American Airlines Center
Oklahoma City Thunder,23.7,51,31,3.79,0.02,3.81,111.2,107.2,92.7,.363,.212,.561,.501,13.1,27.4,.299,.493,12.9,73.6,.228,Chesapeake Energy Arena
Memphis Grizzlies,25.2,48,34,2.34,0.20,2.55,107.6,105.1,91.9,.291,.136,.534,.493,13.0,28.9,.218,.502,15.7,72.5,.228,FedEx Forum
Houston Rockets,26.5,47,35,2.18,0.19,2.37,111.3,109.0,94.2,.299,.264,.550,.503,12.3,27.4,.239,.500,12.6,72.7,.219,Toyota Center
Portland Trail Blazers,26.7,46,36,1.52,0.32,1.85,108.8,107.1,87.9,.278,.228,.533,.486,12.6,29.5,.224,.510,15.4,72.0,.231,Rose Garden Arena
New Orleans Hornets,26.3,44,38,0.89,0.39,1.28,106.2,105.2,88.7,.296,.192,.537,.493,12.8,25.1,.226,.501,14.4,76.2,.220,New Orleans Arena
Philadelphia 76ers,24.7,45,37,1.50,-0.50,1.01,106.6,105.0,91.7,.273,.184,.535,.494,12.3,24.6,.210,.487,13.5,74.5,.231,Wells Fargo Center
New York Knicks,25.3,43,39,0.78,-0.30,0.48,110.9,110.1,95.6,.304,.303,.561,.513,12.6,24.2,.246,.511,13.8,71.9,.240,Madison Square Garden (IV)
Phoenix Suns,29.6,39,43,-0.89,0.43,-0.46,109.5,110.4,94.4,.283,.271,.559,.522,13.2,23.7,.215,.513,13.1,71.6,.211,US Airways Center
Milwaukee Bucks,26.7,38,44,-0.84,-0.17,-1.02,101.6,102.5,89.8,.287,.216,.511,.467,13.0,24.7,.217,.481,14.7,74.8,.236,Bradley Center
