Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
San Antonio Spurs,30.4,64,18,8.43,-0.08,8.35,109.2,99.9,89.8,.313,.247,.561,.521,13.6,24.2,.235,.471,14.0,75.7,.201,AT&amp;T Center
Dallas Mavericks,28.1,61,21,7.22,0.06,7.28,111.3,103.2,89.5,.317,.218,.559,.509,13.4,28.7,.256,.477,14.2,75.0,.265,American Airlines Center
Phoenix Suns,27.6,59,23,7.30,-0.03,7.28,113.9,106.4,95.6,.267,.287,.590,.551,13.4,22.7,.215,.492,13.6,71.9,.206,US Airways Center
Houston Rockets,28.2,55,27,4.85,0.19,5.04,106.0,100.7,90.7,.292,.290,.540,.499,13.6,25.7,.220,.466,13.6,77.0,.230,Toyota Center
Chicago Bulls,26.0,55,27,5.01,-0.49,4.52,104.9,99.6,93.6,.313,.186,.534,.493,14.7,28.6,.229,.473,16.2,74.3,.252,United Center
Detroit Pistons,29.0,53,29,4.16,-0.47,3.69,108.9,104.2,87.3,.307,.201,.535,.488,12.0,28.3,.237,.477,14.3,70.9,.234,The Palace of Auburn Hills
Cleveland Cavaliers,26.9,52,30,3.83,-0.50,3.33,105.5,101.3,90.8,.320,.211,.522,.484,13.4,29.7,.223,.480,14.7,75.8,.243,Quicken Loans Arena
Utah Jazz,25.9,49,33,2.87,0.20,3.06,110.1,107.0,91.6,.380,.163,.551,.502,14.5,31.7,.283,.496,14.4,75.1,.314,EnergySolutions Arena
Denver Nuggets,26.5,45,37,1.62,0.07,1.69,107.6,105.9,97.4,.360,.212,.548,.501,14.6,28.9,.268,.499,14.5,71.8,.203,Pepsi Center
Toronto Raptors,26.0,44,38,0.99,-0.38,0.61,107.0,106.0,92.6,.303,.224,.550,.504,13.0,22.2,.239,.503,14.3,74.5,.219,Air Canada Centre
Orlando Magic,25.6,43,39,0.78,-0.43,0.35,104.9,104.1,89.9,.393,.158,.544,.500,16.3,29.3,.276,.480,14.6,73.7,.286,Amway Arena
Los Angeles Lakers,25.3,41,41,-0.07,0.32,0.24,108.6,108.6,93.5,.333,.259,.554,.511,14.3,26.1,.249,.500,13.5,72.3,.262,STAPLES Center
Golden State Warriors,24.6,40,42,-0.34,0.34,0.00,107.0,107.4,99.2,.300,.279,.548,.512,14.1,25.6,.215,.506,16.1,69.6,.264,Oracle Arena
Los Angeles Clippers,27.5,40,42,-0.46,0.39,-0.07,105.1,105.6,90.8,.355,.143,.537,.481,14.5,27.2,.280,.488,13.3,74.7,.249,STAPLES Center
Washington Wizards,26.8,40,42,-0.51,-0.28,-0.80,110.1,110.6,94.1,.356,.237,.542,.491,12.6,28.1,.272,.517,14.4,71.0,.249,Verizon Center
New Jersey Nets,28.2,39,43,-0.77,-0.23,-1.00,105.7,106.6,91.4,.338,.263,.546,.504,14.2,24.6,.245,.490,13.7,74.4,.266,Continental Airlines Arena
New Orleans/Oklahoma City Hornets,26.4,36,46,-1.57,0.38,-1.19,104.8,106.5,90.2,.291,.188,.520,.479,13.6,29.1,.215,.499,13.2,74.7,.212,Ford Center
