Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
San Antonio Spurs,28.5,63,19,7.80,0.03,7.84,107.5,98.8,88.9,.329,.216,.534,.492,13.2,29.1,.238,.452,14.7,73.6,.236,SBC Center
Phoenix Suns,25.2,59,23,7.12,-0.04,7.08,114.5,107.1,95.9,.296,.289,.571,.534,12.4,27.5,.222,.478,12.0,68.3,.176,America West Arena
Dallas Mavericks,27.7,57,25,5.74,0.11,5.86,110.3,104.1,92.7,.346,.190,.545,.492,12.5,28.6,.273,.472,14.3,70.2,.239,American Airlines Center
Miami Heat,28.0,59,23,6.52,-0.76,5.77,110.2,103.1,90.8,.387,.198,.559,.524,13.1,27.0,.260,.460,12.4,74.1,.242,AmericanAirlines Arena
Houston Rockets,29.7,53,29,4.04,0.23,4.27,106.2,101.7,88.8,.309,.237,.534,.486,13.5,26.3,.242,.459,12.9,74.5,.245,Toyota Center
Detroit Pistons,27.9,53,29,3.87,-0.55,3.31,105.6,101.2,87.2,.335,.164,.519,.472,13.3,31.2,.247,.461,13.5,73.0,.207,The Palace of Auburn Hills
Memphis Grizzlies,26.3,48,34,2.29,0.34,2.64,105.5,102.9,88.5,.323,.237,.535,.489,14.3,27.1,.243,.466,15.4,69.9,.270,FedEx Forum
Seattle SuperSonics,26.0,48,34,2.29,0.30,2.59,112.2,109.6,87.9,.328,.281,.546,.495,13.0,32.4,.259,.496,12.9,71.3,.249,KeyArena at Seattle Center
Sacramento Kings,27.7,47,35,2.16,0.40,2.56,110.5,108.2,93.0,.287,.200,.541,.496,12.0,28.8,.226,.493,13.3,69.0,.214,ARCO Arena (II)
Denver Nuggets,26.7,47,35,2.02,0.20,2.23,106.0,103.9,93.5,.350,.142,.535,.483,13.8,28.4,.267,.482,15.1,71.7,.247,Pepsi Center
Minnesota Timberwolves,29.0,45,37,1.45,0.28,1.73,108.2,106.6,89.1,.275,.173,.534,.489,12.7,28.6,.219,.472,11.2,71.4,.208,Target Center
Chicago Bulls,25.0,44,38,1.06,-0.41,0.65,101.4,100.3,92.4,.311,.217,.517,.471,15.5,28.4,.233,.454,14.4,72.6,.262,United Center
Indiana Pacers,28.3,43,39,0.76,-0.27,0.49,105.5,104.6,87.2,.358,.255,.534,.476,14.1,26.4,.283,.472,13.6,71.3,.261,Conseco Fieldhouse
Boston Celtics,27.1,43,39,0.87,-0.52,0.35,107.5,106.6,93.3,.357,.192,.551,.501,14.7,27.2,.273,.481,14.2,70.1,.274,FleetCenter
Cleveland Cavaliers,26.5,43,39,0.79,-0.52,0.27,106.6,105.7,89.7,.325,.135,.518,.470,13.0,32.5,.244,.485,14.1,71.5,.248,Gund Arena
Los Angeles Clippers,25.5,39,43,-0.77,0.30,-0.47,105.5,106.4,89.1,.357,.105,.533,.477,14.9,30.3,.278,.480,13.0,71.3,.235,STAPLES Center
Washington Wizards,25.3,40,42,-0.33,-0.38,-0.71,107.2,107.5,93.3,.364,.220,.523,.474,12.9,31.1,.264,.498,14.6,70.0,.230,MCI Center
Philadelphia 76ers,26.4,39,43,-0.74,-0.33,-1.07,103.5,104.3,94.9,.326,.216,.528,.475,14.2,25.4,.257,.485,15.4,72.7,.267,Wachovia Center
Golden State Warriors,26.7,35,47,-2.16,0.42,-1.74,104.7,106.9,93.3,.278,.252,.512,.475,12.3,27.8,.201,.491,13.9,69.7,.227,Oakland Arena
Toronto Raptors,27.0,36,46,-1.62,-0.19,-1.81,106.9,108.7,92.7,.316,.253,.539,.492,12.5,23.7,.244,.499,13.4,71.1,.240,Air Canada Centre
New Jersey Nets,27.8,36,46,-1.50,-0.32,-1.82,101.4,103.1,89.1,.318,.187,.512,.463,13.7,25.5,.242,.479,15.2,73.2,.278,Continental Airlines Arena
Los Angeles Lakers,26.0,33,49,-2.96,0.64,-2.32,108.1,111.4,90.8,.322,.273,.535,.485,13.4,29.5,.251,.493,11.0,71.1,.218,STAPLES Center
Orlando Magic,26.5,35,47,-2.24,-0.27,-2.52,104.9,107.3,94.7,.350,.137,.529,.478,14.6,29.9,.265,.484,13.2,71.3,.255,TD Waterhouse Centre
New York Knicks,27.3,34,48,-2.44,-0.28,-2.72,106.2,108.9,90.7,.312,.188,.531,.485,13.8,28.3,.239,.501,13.8,71.2,.265,Madison Square Garden (IV)
Milwaukee Bucks,26.9,32,50,-2.99,-0.10,-3.09,106.6,109.8,90.8,.339,.141,.527,.475,13.0,29.0,.261,.499,12.4,72.0,.233,Bradley Center
Portland Trail Blazers,27.0,29,53,-4.00,0.55,-3.45,103.2,107.7,89.8,.303,.181,.524,.484,15.2,29.6,.219,.479,12.6,67.7,.204,Rose Garden Arena
Utah Jazz,25.7,29,53,-4.27,0.53,-3.74,104.7,109.5,88.4,.361,.121,.522,.469,15.0,31.9,.273,.499,14.2,72.3,.340,Delta Center
Charlotte Bobcats,24.9,24,58,-5.99,-0.16,-6.15,101.1,107.5,92.3,.306,.128,.497,.455,13.3,29.5,.217,.497,14.7,70.9,.269,Charlotte Coliseum
New Orleans Hornets,27.5,21,61,-7.07,0.78,-6.30,99.7,107.7,87.6,.279,.201,.493,.446,14.2,29.1,.214,.491,13.9,70.7,.261,New Orleans Arena
Atlanta Hawks,26.0,16,66,-9.71,0.09,-9.62,100.6,111.1,91.4,.299,.146,.504,.464,14.9,30.7,.212,.513,14.0,72.1,.289,Philips Arena
